Fecha;Beni;Chuquisaca;Cochabamba;La Paz;Oruro;Pando;Potosi;Santa Cruz;Tarija
10/3/2020 00:00;0;0;0;0;1;0;0;1;0
11/3/2020 00:00;0;0;0;0;1;0;0;2;0
12/3/2020 00:00;0;0;0;0;7;0;0;2;0
13/3/2020 00:00;0;0;0;0;7;0;0;2;0
14/3/2020 00:00;0;0;1;0;7;0;0;2;0
15/3/2020 00:00;0;0;1;0;7;0;0;2;0
16/3/2020 00:00;0;0;1;0;7;0;0;3;0
17/3/2020 00:00;0;0;1;0;7;0;0;4;0
18/3/2020 00:00;0;0;1;0;7;0;0;4;0
19/3/2020 00:00;0;0;2;1;8;0;0;5;0
20/3/2020 00:00;0;0;2;1;8;0;0;8;0
21/3/2020 00:00;0;0;2;1;8;0;0;9;0
22/3/2020 00:00;0;0;2;1;8;0;0;15;0
23/3/2020 00:00;0;0;2;1;8;0;0;16;0
24/3/2020 00:00;0;0;3;3;8;0;0;18;0
25/3/2020 00:00;0;0;3;4;8;0;0;24;0
26/3/2020 00:00;0;0;10;8;8;0;1;34;0
27/3/2020 00:00;0;1;14;8;8;0;1;42;0
28/3/2020 00:00;0;1;14;10;8;1;3;44;0
29/3/2020 00:00;0;1;18;13;8;1;3;52;0
30/3/2020 00:00;0;1;20;14;8;1;3;59;1
31/3/2020 00:00;0;1;20;16;8;1;4;64;1
1/4/2020 00:00;0;1;21;16;8;4;4;68;1
2/4/2020 00:00;0;1;22;19;8;6;5;70;1
3/4/2020 00:00;0;1;24;20;8;6;5;74;1
4/4/2020 00:00;0;1;25;23;8;6;5;88;1
5/4/2020 00:00;0;1;33;32;8;6;5;97;1
6/4/2020 00:00;0;1;33;37;8;6;8;100;1
7/4/2020 00:00;0;1;38;39;8;10;10;103;1
8/4/2020 00:00;0;1;47;57;8;10;13;127;1
9/4/2020 00:00;0;1;48;57;8;10;13;130;1
10/4/2020 00:00;0;1;48;59;9;10;13;134;1
11/4/2020 00:00;0;1;49;65;11;11;15;147;1
12/4/2020 00:00;0;1;52;73;13;11;15;163;2
13/4/2020 00:00;0;1;54;80;14;11;15;177;2
14/4/2020 00:00;0;1;57;91;30;11;15;190;2
15/4/2020 00:00;0;1;59;101;37;11;15;215;2
16/4/2020 00:00;0;1;59;120;38;11;16;218;2
17/4/2020 00:00;0;1;60;120;42;12;18;237;3
18/4/2020 00:00;0;1;60;126;45;12;18;255;3
19/4/2020 00:00;0;1;61;133;45;12;19;290;3
20/4/2020 00:00;2;1;61;134;49;12;19;317;3
21/4/2020 00:00;2;1;62;137;49;12;19;324;3
22/4/2020 00:00;2;1;63;140;59;12;21;371;3
23/4/2020 00:00;2;2;66;150;62;12;21;385;3
24/4/2020 00:00;33;2;70;155;65;12;21;446;3
25/4/2020 00:00;39;2;71;159;65;12;26;489;3
26/4/2020 00:00;57;2;78;168;79;12;26;525;3
27/4/2020 00:00;62;3;78;185;92;12;26;553;3
28/4/2020 00:00;63;3;79;188;92;12;26;587;3
29/4/2020 00:00;67;3;80;202;102;12;26;615;3
30/4/2020 00:00;67;3;80;218;102;12;26;656;3
1/5/2020 00:00;83;4;80;221;107;12;26;693;3
2/5/2020 00:00;191;4;81;236;111;12;26;806;3
3/5/2020 00:00;212;4;81;241;111;12;26;904;3
4/5/2020 00:00;212;5;82;243;111;12;33;979;4
5/5/2020 00:00;212;6;82;253;113;12;35;1083;6
6/5/2020 00:00;212;6;82;260;113;12;35;1160;6
7/5/2020 00:00;231;11;82;271;115;12;35;1318;6
8/5/2020 00:00;312;11;90;294;116;12;35;1387;9
9/5/2020 00:00;312;14;95;301;121;12;35;1537;10
10/5/2020 00:00;314;15;104;309;124;12;35;1633;10
11/5/2020 00:00;389;15;109;313;124;12;36;1823;10
12/5/2020 00:00;389;15;130;316;128;12;36;1925;13
13/5/2020 00:00;436;15;148;319;128;12;36;2041;13
14/5/2020 00:00;509;15;170;322;132;12;36;2163;13
15/5/2020 00:00;548;15;196;328;132;12;36;2297;13
16/5/2020 00:00;551;16;214;333;133;12;36;2518;13
17/5/2020 00:00;551;17;224;335;135;12;38;2763;13
18/5/2020 00:00;581;17;228;342;137;12;39;2894;13
19/5/2020 00:00;679;17;246;355;138;12;39;2982;13
20/5/2020 00:00;833;19;259;363;138;12;40;3241;14
21/5/2020 00:00;902;19;266;375;141;12;41;3414;17
22/5/2020 00:00;1015;19;285;381;143;12;41;3665;18
23/5/2020 00:00;1097;21;295;386;145;12;41;3900;18
24/5/2020 00:00;1097;21;329;394;150;13;42;4199;18
25/5/2020 00:00;1142;22;339;403;151;13;44;4527;19
26/5/2020 00:00;1242;22;345;410;153;13;44;4888;19
27/5/2020 00:00;1355;25;376;415;155;13;44;5366;19
28/5/2020 00:00;1506;25;419;423;159;13;46;5774;22
29/5/2020 00:00;1576;25;488;444;166;14;48;5946;24
30/5/2020 00:00;1707;25;556;478;190;14;48;6542;32
31/5/2020 00:00;1809;26;611;507;204;14;68;6711;32
1/6/2020 00:00;1885;28;714;555;210;14;70;7018;37
2/6/2020 00:00;1965;29;786;614;218;14;93;7235;37
3/6/2020 00:00;2101;31;851;635;222;23;98;7637;40
4/6/2020 00:00;2278;32;898;661;238;23;119;7952;44
5/6/2020 00:00;2428;38;960;692;247;23;147;8144;49
6/6/2020 00:00;2472;39;1022;737;256;47;171;8556;58
7/6/2020 00:00;2511;39;1097;754;260;65;183;8676;58
8/6/2020 00:00;2565;43;1162;776;274;65;188;8811;65
9/6/2020 00:00;2692;43;1231;804;288;94;200;9224;68
10/6/2020 00:00;2778;61;1297;842;305;130;205;9594;69
11/6/2020 00:00;2809;74;1369;932;334;175;268;10127;77
12/6/2020 00:00;2927;85;1441;983;358;238;274;10536;87
13/6/2020 00:00;2944;100;1537;1064;369;267;295;11154;112
14/6/2020 00:00;2954;102;1723;1149;378;286;331;11424;112
15/6/2020 00:00;2962;117;1878;1213;389;307;343;11741;123
16/6/2020 00:00;2994;129;1915;1254;400;315;361;12366;149
17/6/2020 00:00;3128;134;2041;1298;420;386;378;12725;175
18/6/2020 00:00;3326;185;2179;1386;443;409;392;12988;191
19/6/2020 00:00;3473;196;2302;1469;459;425;407;13539;206
20/6/2020 00:00;3581;253;2360;1545;469;476;424;14165;239
21/6/2020 00:00;3613;301;2551;1780;488;482;428;14499;246
22/6/2020 00:00;3679;301;2612;1918;599;496;546;15067;275
23/6/2020 00:00;3785;382;2775;1966;675;505;560;15442;299
24/6/2020 00:00;3887;422;2920;2161;699;507;576;15984;331
25/6/2020 00:00;3920;470;2970;2373;721;513;588;16555;393
26/6/2020 00:00;3934;524;3233;2580;792;562;589;16777;432
27/6/2020 00:00;3975;578;3416;2774;794;567;603;17455;514
28/6/2020 00:00;4041;637;3468;2882;878;567;641;17873;537
29/6/2020 00:00;4075;644;3501;2967;899;568;664;18211;596
30/6/2020 00:00;4119;707;3640;3029;949;568;674;18881;652
1/7/2020 00:00;4173;766;3744;3241;1012;636;689;19257;709
2/7/2020 00:00;4203;811;3836;3397;1093;713;720;19991;764
3/7/2020 00:00;4265;852;4089;3634;1145;717;728;20558;830
4/7/2020 00:00;4275;917;4146;3872;1189;808;758;21190;916
5/7/2020 00:00;4275;967;4199;4205;1233;934;761;21752;971
6/7/2020 00:00;4332;1000;4429;4685;1283;1006;782;21953;1039
7/7/2020 00:00;4435;1068;4492;4876;1380;1026;801;22398;1069
8/7/2020 00:00;4611;1099;4635;5151;1491;1026;831;22926;1214
9/7/2020 00:00;4695;1162;4769;5376;1546;1026;844;23411;1284
10/7/2020 00:00;4794;1165;4915;5704;1635;1026;847;24025;1454
11/7/2020 00:00;4811;1298;5014;6366;1701;1026;858;24625;1501
12/7/2020 00:00;4837;1332;5188;6703;1786;1045;895;24900;1501
13/7/2020 00:00;4861;1332;5315;7124;1861;1045;919;25260;1533
14/7/2020 00:00;4904;1374;5468;7402;1921;1045;969;26124;1660
15/7/2020 00:00;4957;1422;5744;7662;1974;1045;1000;26671;1743
16/7/2020 00:00;5026;1490;5926;7976;2016;1045;1060;27744;1873
17/7/2020 00:00;5040;1536;6045;8209;2112;1057;1086;28989;2028
18/7/2020 00:00;5068;1588;6277;8922;2177;1178;1097;29484;2347
19/7/2020 00:00;5092;1605;6406;9655;2211;1204;1172;29754;2483
20/7/2020 00:00;5124;1637;6526;10190;2244;1212;1188;30309;2561
21/7/2020 00:00;5163;1662;6694;10621;2346;1213;1188;30887;2583
22/7/2020 00:00;5173;1698;6887;11409;2431;1300;1249;31400;2588
23/7/2020 00:00;5193;1736;7047;11943;2506;1311;1266;31656;2594
24/7/2020 00:00;5276;1807;7305;12273;2557;1362;1385;31846;2645
25/7/2020 00:00;5289;1826;7420;13371;2657;1365;1390;32138;2825
26/7/2020 00:00;5290;1834;7544;13780;2756;1367;1436;32372;3050
27/7/2020 00:00;5295;1894;8104;14403;2822;1373;1443;32653;3194
28/7/2020 00:00;5315;1921;8310;14618;2859;1375;1458;33084;3387
29/7/2020 00:00;5325;1944;8410;14982;2913;1398;1464;33550;3548
30/7/2020 00:00;5376;1962;8582;15595;3073;1407;1470;33990;3779
31/7/2020 00:00;5441;2051;9030;15951;3073;1419;1486;34409;3929
1/8/2020 00:00;5552;2094;9418;16425;3573;1428;1520;34738;4045
2/8/2020 00:00;5619;2141;9626;16823;3693;1428;1576;34972;4275
3/8/2020 00:00;5638;2199;9815;17699;3741;1431;1627;35296;4400
4/8/2020 00:00;5669;2261;10031;18115;3890;1459;1670;35759;4507
5/8/2020 00:00;5697;2337;10213;19024;3960;1495;1747;36081;4587
6/8/2020 00:00;5729;2436;10309;19575;4027;1517;1760;36459;4611
7/8/2020 00:00;5760;2562;10392;20481;4039;1549;1792;36688;4628
8/8/2020 00:00;5777;2661;10435;21105;4117;1587;1820;36924;4629
9/8/2020 00:00;5789;2712;10586;21606;4138;1622;1860;37057;4629
10/8/2020 00:00;5836;2837;10722;22322;4150;1656;1941;37392;4779
11/8/2020 00:00;5921;2978;10845;22908;4193;1710;2232;37599;4942
12/8/2020 00:00;5930;3127;10990;23721;4214;1766;2352;37831;5140
13/8/2020 00:00;5954;3296;11074;24145;4227;1804;2608;38016;5335
14/8/2020 00:00;5954;3477;11259;24602;4237;1852;2843;38187;5539
15/8/2020 00:00;5957;3623;11346;25122;4255;1910;3037;38301;5595
16/8/2020 00:00;5957;3808;11359;25776;4269;1959;3153;38416;5647
17/8/2020 00:00;5971;3985;11411;26052;4283;1968;3291;38511;5751
18/8/2020 00:00;6022;4147;11491;26295;4299;2021;4152;38580;6012
19/8/2020 00:00;6093;4254;11563;27100;4367;2074;4420;38862;6317
20/8/2020 00:00;6156;4343;11621;27306;4496;2129;4538;38969;6507
21/8/2020 00:00;6238;4421;11689;27771;4575;2208;4636;39113;6784
22/8/2020 00:00;6322;4536;11791;27985;4636;2230;4736;39286;6905
23/8/2020 00:00;6335;4638;11844;28328;4689;2232;4771;39373;6939
24/8/2020 00:00;6342;4705;11956;28935;4718;2241;4832;39437;6982
25/8/2020 00:00;6422;4786;12017;29149;4736;2263;4944;39616;7066
26/8/2020 00:00;6449;4851;12068;29498;4766;2283;5138;39878;7163
27/8/2020 00:00;6502;4923;12161;29851;4818;2297;5252;40014;7311
28/8/2020 00:00;6565;5024;12204;30349;4856;2308;5417;40176;7510
29/8/2020 00:00;6584;5097;12290;30678;4907;2315;5472;40270;7741
30/8/2020 00:00;6592;5133;12297;30898;4951;2317;5472;40293;8015
31/8/2020 00:00;6610;5220;12370;30999;4960;2320;5539;40445;8135
1/9/2020 00:00;6639;5295;12432;31039;4968;2332;5655;40638;8269
2/9/2020 00:00;6671;5360;12516;31124;4984;2335;5760;40792;8386
3/9/2020 00:00;6753;5433;12559;31232;5086;2340;5861;40885;8632
4/9/2020 00:00;6771;5496;12589;31446;5129;2347;6039;41007;8756
5/9/2020 00:00;6785;5546;12615;31725;5148;2350;6107;41085;8880
6/9/2020 00:00;6792;5606;12624;31889;5176;2353;6215;41112;9002
7/9/2020 00:00;6821;5627;12629;32161;5185;2355;6389;41197;9240
8/9/2020 00:00;6846;5705;12671;32268;5199;2357;6561;41314;9387
9/9/2020 00:00;6873;5840;12721;32565;5298;2358;6744;41430;9516
10/9/2020 00:00;6913;5911;12766;32797;5349;2358;6933;41555;9623
11/9/2020 00:00;6933;6019;12889;32950;5359;2358;7166;41653;9845
12/9/2020 00:00;6937;6127;13065;33082;5380;2358;7255;41691;10087
13/9/2020 00:00;6954;6204;13142;33296;5413;2358;7294;41759;10371
14/9/2020 00:00;6968;6268;13192;33619;5442;2358;7387;41819;10566
15/9/2020 00:00;6969;6339;13261;33731;5451;2358;7469;41923;10785
16/9/2020 00:00;6983;6418;13294;33804;5476;2360;7519;41991;11027
17/9/2020 00:00;7007;6518;13328;33842;5493;2360;7540;42064;11267
18/9/2020 00:00;7017;6605;13378;33875;5515;2361;7653;42100;11547
19/9/2020 00:00;7022;6639;13392;33969;5527;2361;7666;42153;11741
20/9/2020 00:00;7023;6680;13394;34003;5549;2361;7682;42178;11806
21/9/2020 00:00;7026;6696;13422;34030;5555;2361;7736;42226;11934
22/9/2020 00:00;7049;6769;13429;34067;5565;2362;7790;42276;12146
23/9/2020 00:00;7089;6817;13451;34091;5606;2362;7925;42336;12313
24/9/2020 00:00;7109;6879;13488;34136;5650;2363;7988;42374;12631
25/9/2020 00:00;7124;6940;13507;34181;5679;2363;8055;42508;12865
26/9/2020 00:00;7129;6986;13529;34233;5679;2363;8137;42544;12992
27/9/2020 00:00;7129;7032;13533;34262;5697;2364;8148;42588;13148
28/9/2020 00:00;7129;7055;13563;34279;5711;2365;8188;42625;13308
29/9/2020 00:00;7129;7069;13594;34282;5719;2366;8228;42684;13570
